family,variant,direction_id,rho_j,rho_k,reversal,threshold,near_boundary,escalate
grid_lattice,1,7,0.075,0.1,5.163754638654126e-05,1.076612757278106e-17,False,False
grid_lattice,1,7,0.1,0.125,3.1750509292976375e-05,1.076612757278106e-17,False,False
grid_lattice,1,7,0.125,0.15,1.1402601456942177e-05,1.076612757278106e-17,False,False
grid_lattice,1,12,0.0,0.025,0.000978875437406147,1.076612757278106e-17,False,True
grid_lattice,1,12,0.025,0.05,0.00033150642855941546,1.076612757278106e-17,False,False
grid_lattice,1,18,0.0,0.025,0.0009906986587677924,1.076612757278106e-17,False,True
grid_lattice,1,18,0.025,0.05,0.00040361753843728325,1.076612757278106e-17,False,False
grid_lattice,1,19,0.0,0.025,1.4177733917335525e-06,1.076612757278106e-17,False,True
grid_lattice,2,1,0.0,0.025,9.525834952732373e-05,1.076612757278106e-17,False,True
grid_lattice,2,1,0.025,0.05,9.222258421726602e-05,1.076612757278106e-17,False,False
grid_lattice,2,1,0.05,0.075,8.903225538991772e-05,1.076612757278106e-17,False,False
grid_lattice,2,1,0.075,0.1,8.568260044018033e-05,1.076612757278106e-17,False,False
grid_lattice,2,1,0.1,0.125,4.141094850464242e-05,1.076612757278106e-17,False,False
grid_lattice,2,2,0.0,0.025,0.0001987804226375239,1.076612757278106e-17,False,True
grid_lattice,2,2,0.025,0.05,0.00018667337252158914,1.076612757278106e-17,False,False
grid_lattice,2,2,0.05,0.075,0.00017325009466333686,1.076612757278106e-17,False,False
grid_lattice,2,2,0.075,0.1,0.00015842944286411156,1.076612757278106e-17,False,False
grid_lattice,2,2,0.1,0.125,0.00014215657527348602,1.076612757278106e-17,False,False
grid_lattice,2,2,0.125,0.15,4.109836905710068e-05,1.076612757278106e-17,False,False
grid_lattice,2,3,0.0,0.025,0.00107127382127042,1.076612757278106e-17,False,True
grid_lattice,2,3,0.025,0.05,0.0007168444770035793,1.076612757278106e-17,False,False
grid_lattice,2,3,0.05,0.075,0.00015439177784989976,1.076612757278106e-17,False,False
grid_lattice,2,5,0.0,0.025,0.000788838063564167,1.076612757278106e-17,False,True
grid_lattice,2,5,0.025,0.05,0.0006581130801666234,1.076612757278106e-17,False,False
grid_lattice,2,5,0.05,0.075,0.0004589364482467232,1.076612757278106e-17,False,False
grid_lattice,2,5,0.075,0.1,0.00018322837227706737,1.076612757278106e-17,False,False
grid_lattice,2,6,0.0,0.025,0.0014066148718783972,1.076612757278106e-17,False,True
grid_lattice,2,6,0.025,0.05,0.000561787081499494,1.076612757278106e-17,False,False
grid_lattice,2,7,0.0,0.025,0.0009383853915393104,1.076612757278106e-17,False,True
grid_lattice,2,7,0.025,0.05,0.0006491252110520261,1.076612757278106e-17,False,False
grid_lattice,2,7,0.05,0.075,0.00021304381161870063,1.076612757278106e-17,False,False
grid_lattice,2,8,0.0,0.025,0.0014185278789925647,1.076612757278106e-17,False,True
grid_lattice,2,8,0.025,0.05,0.0011580042618987894,1.076612757278106e-17,False,False
grid_lattice,2,8,0.05,0.075,0.0005240001953805153,1.076612757278106e-17,False,False
grid_lattice,2,9,0.0,0.025,3.250449432442692e-05,1.076612757278106e-17,False,True
grid_lattice,2,10,0.0,0.025,0.00023563771330685924,1.076612757278106e-17,False,True
grid_lattice,2,10,0.025,0.05,0.0002158997410000498,1.076612757278106e-17,False,False
grid_lattice,2,10,0.05,0.075,0.00019363730613486396,1.076612757278106e-17,False,False
grid_lattice,2,10,0.075,0.1,0.0001687330828157238,1.076612757278106e-17,False,False
grid_lattice,2,10,0.1,0.125,0.00014117719369275122,1.076612757278106e-17,False,False
grid_lattice,2,10,0.125,0.15,0.00011110775047790643,1.076612757278106e-17,False,False
grid_lattice,2,10,0.15,0.175,7.88424620838616e-05,1.076612757278106e-17,False,False
grid_lattice,2,10,0.175,0.2,4.132093269260985e-05,1.076612757278106e-17,False,False
grid_lattice,2,11,0.0,0.025,0.0004350379523607841,1.076612757278106e-17,False,True
grid_lattice,2,11,0.025,0.05,6.707187348566936e-05,1.076612757278106e-17,False,False
grid_lattice,2,12,0.0,0.025,0.0019631227623747183,1.076612757278106e-17,False,True
grid_lattice,2,12,0.025,0.05,0.00048094229254599984,1.076612757278106e-17,False,False
grid_lattice,2,14,0.0,0.025,0.00047969413770598563,1.076612757278106e-17,False,True
grid_lattice,2,14,0.025,0.05,0.0003588528764612393,1.076612757278106e-17,False,False
grid_lattice,2,14,0.05,0.075,0.00021002281797479188,1.076612757278106e-17,False,False
grid_lattice,2,14,0.075,0.1,3.453642276125303e-05,1.076612757278106e-17,False,False
grid_lattice,2,17,0.0,0.025,0.0006327062529078321,1.076612757278106e-17,False,True
grid_lattice,2,17,0.025,0.05,0.0005218425736519105,1.076612757278106e-17,False,False
grid_lattice,2,17,0.05,0.075,0.000369316741460058,1.076612757278106e-17,False,False
grid_lattice,2,17,0.075,0.1,0.00017444900796208078,1.076612757278106e-17,False,False
