family,variant,direction_id,separation_over_dx,width_over_dx,E_at_rho0.2,I_at_rho0.2
murray_tree,1,14,2.055247235346152,0.6611774308812046,0.011847822817678582,0
murray_tree,1,17,2.748007401635586,0.6699304328120171,0.010183301594531586,0
murray_tree,2,2,3.278513834745592,1.0968687509759532,0.004445662739307646,1
murray_tree,2,5,2.1464502205231524,0.5497438571793167,0.015654602433647344,0
murray_tree,2,8,3.532469132975057,1.7785231684996587,0.006013415357407023,1
murray_tree,2,11,3.1739422629997893,0.9548902951074761,0.004298238310876356,1
murray_tree,2,14,4.884485409846887,1.4410511390361913,0.010393448550686718,0
murray_tree,2,17,2.641306342454019,1.0064767439998146,0.0030280493043958107,1
looped_hierarchical,0,2,3.667431127400824,1.4434422645206695,0.004952314928846377,1
looped_hierarchical,0,5,2.3907191118322486,1.4440165208586426,0.0064301756650922024,1
looped_hierarchical,0,8,3.152309424098756,1.2076133214629705,0.005605389283454995,1
looped_hierarchical,0,11,6.168193055810476,1.679834256001828,0.006482712256053415,1
looped_hierarchical,0,14,4.299378583100472,0.8993201048920799,0.016334543588205623,0
looped_hierarchical,0,17,3.518430575683038,0.764036338238842,0.01855600213750173,0
looped_hierarchical,1,2,3.7054261308058285,0.5684418780256182,0.0064141638626909825,1
looped_hierarchical,1,5,4.828597641399156,0.8827016226052022,0.018712660662063136,0
looped_hierarchical,1,8,2.9168183353577786,0.7908371121960547,0.005222851943081982,1
looped_hierarchical,1,11,4.300589016603569,0.8404802035095912,0.01523435196548831,0
looped_hierarchical,1,14,4.189810313328498,0.5742065931496192,0.024755939441668665,0
looped_hierarchical,1,17,3.0006123543332923,0.6930619464775337,0.007525380595330761,1
looped_hierarchical,2,2,5.292874089642347,0.9721532499949853,0.01147561769552666,0
looped_hierarchical,2,5,3.269873923225669,1.9751443259248667,0.011742488627129352,0
looped_hierarchical,2,8,1.1369339676154409,0.5568451803540023,0.014932112104872651,0
looped_hierarchical,2,11,3.7836115550852805,0.5810733454486633,0.006762002983550597,1
looped_hierarchical,2,14,5.060595410944496,1.464754539143546,0.011958073601805657,0
looped_hierarchical,2,17,1.917110593049197,1.0960265916774914,0.01283366157305112,0
grid_lattice,0,2,3.1783107118870086,0.7310474186375353,0.00985848217629624,1
grid_lattice,0,5,1.928195560353892,0.5591728143692158,0.007140162964169971,1
grid_lattice,0,8,1.13882847196982,1.1676967213934102,0.00831259418228155,1
grid_lattice,0,11,1.655293453289136,0.6833817451806634,0.006405390267852888,1
grid_lattice,0,14,2.9569952330686458,0.7488458782875439,0.013347132025790421,0
grid_lattice,0,17,3.416772142923569,1.6529079940541367,0.005515297488631578,1
grid_lattice,1,2,1.3283501967863958,1.6869748931672357,0.004806525531721838,1
grid_lattice,1,5,3.9326226513674962,0.7950845206223492,0.016144268526172872,0
grid_lattice,1,8,1.2162708682219647,0.6638856069246433,0.011710428725487535,0
grid_lattice,1,11,4.910704393559135,0.9122273976985845,0.018284839510211422,0
grid_lattice,1,14,4.0911477000858865,0.9271781234334093,0.013685931733755081,0
grid_lattice,1,17,1.253950563844815,1.7446852613517467,0.005480869181534067,1
grid_lattice,2,2,3.065929584559898,1.6620969750985688,0.0065117456560943535,1
grid_lattice,2,5,1.3217599625525394,0.9390350927243436,0.005781875632968264,1
grid_lattice,2,8,4.272638487312575,0.8797716343527063,0.008883453787473784,1
grid_lattice,2,11,3.165682113008997,0.6264090022089588,0.011971944142534564,0
grid_lattice,2,14,1.8095403026579806,0.5532606674284665,0.0124723975601056,0
grid_lattice,2,17,1.2546424277474508,1.7624871235444044,0.005325651801587171,1
