family,stratum,score8,score16,mean_error,candidate
murray_tree,3,0.029960749021852393,0.03023604583045468,0.05795667474172227,"[('in0', 'in00'), ('in0', 'in01'), ('in00', 'out0'), ('in10', 'out5')]"
murray_tree,3,0.02740670725967171,0.027048721397767823,0.054688600049244473,"[('in', 'in0'), ('in1', 'in10'), ('in00', 'out0'), ('in01', 'out3')]"
murray_tree,3,0.026733015692711724,0.026344766201893383,0.05874488973155836,"[('in', 'in0'), ('in00', 'out0'), ('in00', 'out1'), ('in01', 'out2')]"
murray_tree,3,0.0274067072596717,0.027048721397767837,0.05514064480524681,"[('in', 'in0'), ('in1', 'in11'), ('in00', 'out0'), ('in01', 'out2')]"
murray_tree,3,0.029076591184824963,0.028069184733502638,0.05874648529486737,"[('in', 'in1'), ('in1', 'in11'), ('in00', 'out1'), ('in11', 'out6')]"
murray_tree,3,0.02721927455824672,0.027104306103188123,0.0536617704989397,"[('in', 'in0'), ('in1', 'in11'), ('in01', 'out3'), ('in11', 'out6')]"
murray_tree,3,0.027406707259671696,0.027048721397767823,0.05625600376803441,"[('in', 'in0'), ('in1', 'in11'), ('in00', 'out1'), ('in01', 'out3')]"
murray_tree,3,0.027212120177402644,0.026182670034941576,0.053593954336204064,"[('in0', 'in00'), ('in0', 'in01'), ('in1', 'in10'), ('in00', 'out0')]"
murray_tree,3,0.02721212017740264,0.026182670034941572,0.05113469610197983,"[('in0', 'in00'), ('in0', 'in01'), ('in1', 'in11'), ('in01', 'out3')]"
murray_tree,4,0.025206458037000813,0.024953583642847027,0.05687741916882392,"[('in', 'in0'), ('in1', 'in11'), ('in10', 'out5'), ('in11', 'out6')]"
murray_tree,4,0.02295281842091708,0.023328702257728227,0.05369032674912977,"[('in', 'in0'), ('in0', 'in00'), ('in1', 'in10'), ('in11', 'out6')]"
murray_tree,4,0.02479524731140181,0.02495039293155956,0.05433191024465979,"[('in', 'in1'), ('in0', 'in00'), ('in1', 'in11'), ('in00', 'out1')]"
murray_tree,4,0.024736170399866145,0.025191675641362335,0.05571616544681757,"[('in', 'in0'), ('in0', 'in01'), ('in10', 'out4'), ('in10', 'out5')]"
murray_tree,4,0.024795247311401813,0.02495039293155956,0.05653647568811602,"[('in', 'in1'), ('in0', 'in00'), ('in1', 'in10'), ('in00', 'out1')]"
murray_tree,4,0.024989089480184263,0.025259556689940732,0.05725972828178859,"[('in', 'in1'), ('in00', 'out0'), ('in00', 'out1'), ('in01', 'out3')]"
murray_tree,4,0.023911243282406278,0.023765514661690336,0.05569595396510516,"[('in', 'in0'), ('in0', 'in01'), ('in1', 'in11'), ('in00', 'out1')]"
murray_tree,4,0.024795247311401813,0.02495039293155956,0.05325363078179539,"[('in', 'in0'), ('in0', 'in01'), ('in1', 'in11'), ('in11', 'out6')]"
murray_tree,4,0.025893932414927497,0.026019313476312506,0.05853841109361994,"[('in', 'in0'), ('in0', 'in01'), ('in00', 'out1'), ('in10', 'out4')]"
murray_tree,4,0.022952818420917082,0.02332870225772823,0.056441416495546536,"[('in', 'in1'), ('in0', 'in01'), ('in1', 'in11'), ('in00', 'out1')]"
murray_tree,4,0.02521582478747218,0.025143362688026173,0.05449516183838744,"[('in', 'in1'), ('in0', 'in00'), ('in10', 'out4'), ('in10', 'out5')]"
murray_tree,4,0.023911243282406278,0.023765514661690332,0.05462699304227692,"[('in', 'in0'), ('in0', 'in00'), ('in1', 'in10'), ('in01', 'out2')]"
murray_tree,4,0.02562574968937065,0.024939832479788704,0.05689391336232502,"[('in', 'in1'), ('in0', 'in01'), ('in1', 'in10'), ('in10', 'out5')]"
murray_tree,4,0.025625749689370644,0.02493983247978871,0.05108111280785458,"[('in', 'in0'), ('in0', 'in00'), ('in1', 'in11'), ('in00', 'out0')]"
murray_tree,4,0.023911243282406274,0.023765514661690343,0.057366224647678335,"[('in', 'in0'), ('in0', 'in01'), ('in1', 'in10'), ('in00', 'out1')]"
murray_tree,4,0.0252064580370008,0.02495358364284702,0.056820741417644184,"[('in', 'in0'), ('in1', 'in11'), ('in10', 'out4'), ('in11', 'out7')]"
murray_tree,4,0.025625749689370644,0.024939832479788704,0.057329130353951666,"[('in', 'in0'), ('in0', 'in00'), ('in1', 'in10'), ('in00', 'out1')]"
murray_tree,4,0.023911243282406274,0.023765514661690343,0.05308483628033063,"[('in', 'in0'), ('in0', 'in00'), ('in1', 'in10'), ('in01', 'out3')]"
murray_tree,4,0.02544388769157006,0.02496910155824395,0.06109482159295236,"[('in', 'in1'), ('in0', 'in01'), ('in00', 'out1'), ('in11', 'out7')]"
murray_tree,4,0.024382460540596777,0.024953583642847024,0.055315984293068575,"[('in', 'in1'), ('in0', 'in00'), ('in00', 'out0'), ('in01', 'out3')]"
grid_lattice,0,0.027844573988691435,0.027837901194439033,0.06714019042143969,"[('mid0', 'out0'), ('mid6', 'mid7'), ('mid12', 'out4'), ('mid14', 'out5')]"
grid_lattice,0,0.028885399111591024,0.028729013256093297,0.06742436860466744,"[('out0', 'mid6'), ('out1', 'mid3'), ('out2', 'mid5'), ('out6', 'mid14')]"
grid_lattice,0,0.04736109983299073,0.04736109983299073,0.07144949747116178,"[('out2', 'mid2'), ('mid2', 'out3'), ('out7', 'mid10'), ('mid12', 'out5')]"
grid_lattice,0,0.030573665900056432,0.03048845599931047,0.06336959549541363,"[('mid0', 'out0'), ('out0', 'mid6'), ('in', 'mid8'), ('mid12', 'out5')]"
grid_lattice,0,0.0292429755609953,0.02922263633213123,0.06460217648250585,"[('out1', 'mid1'), ('mid7', 'in'), ('mid9', 'out4'), ('mid13', 'out6')]"
grid_lattice,0,0.024713090102807728,0.024651473769836528,0.06835323263614372,"[('mid0', 'out0'), ('out0', 'mid6'), ('out2', 'mid5'), ('mid6', 'mid7')]"
grid_lattice,0,0.02587535317186752,0.025613648592869076,0.06301555484839241,"[('out0', 'mid6'), ('mid5', 'out3'), ('in', 'mid11'), ('mid10', 'out6')]"
grid_lattice,0,0.02598132413891408,0.02598132413891408,0.07054422302279847,"[('mid1', 'mid4'), ('out7', 'mid13'), ('mid11', 'mid14'), ('mid13', 'out6')]"
grid_lattice,0,0.03626258745292969,0.03626258745292969,0.06657598531189196,"[('mid0', 'out1'), ('mid7', 'in'), ('out7', 'mid10'), ('out5', 'mid15')]"
grid_lattice,0,0.04678034037189248,0.04678034037189248,0.07129108014175257,"[('mid0', 'out0'), ('out1', 'mid3'), ('out2', 'mid5'), ('out2', 'mid2')]"
grid_lattice,0,0.04135399675061632,0.04116511607299925,0.06463519762313438,"[('out1', 'mid3'), ('mid7', 'in'), ('mid10', 'out6'), ('out5', 'mid15')]"
grid_lattice,0,0.028054518063159884,0.028054518063159884,0.06936124645246597,"[('mid0', 'out0'), ('mid8', 'mid9'), ('out6', 'mid14'), ('out5', 'mid15')]"
grid_lattice,0,0.028961868269465056,0.02889657859692022,0.06938634471163228,"[('out1', 'mid1'), ('mid2', 'out3'), ('out7', 'mid10'), ('out6', 'mid14')]"
grid_lattice,0,0.02784209452034572,0.027835449851311853,0.06878091045700233,"[('mid0', 'out0'), ('out3', 'mid9'), ('mid6', 'mid7'), ('mid12', 'out5')]"
grid_lattice,0,0.02628405589548299,0.02628405589548299,0.07007782970364271,"[('mid1', 'out2'), ('mid2', 'out3'), ('mid8', 'mid9'), ('out5', 'mid15')]"
grid_lattice,0,0.028067347733794497,0.028067347733794497,0.07116659887230986,"[('mid1', 'out2'), ('out7', 'mid13'), ('mid11', 'mid14'), ('out5', 'mid15')]"
grid_lattice,0,0.026319825097790118,0.026247837863606127,0.06823122606116297,"[('mid6', 'out7'), ('mid8', 'mid9'), ('out4', 'mid15'), ('mid14', 'out5')]"
grid_lattice,0,0.026197186741681283,0.02615446016140596,0.06704673032324662,"[('out1', 'mid1'), ('mid5', 'out3'), ('mid6', 'out7'), ('mid11', 'mid14')]"
grid_lattice,0,0.028085016090177488,0.027978091468132293,0.06475479273528303,"[('out1', 'mid1'), ('mid4', 'in'), ('mid6', 'out7'), ('mid14', 'out5')]"
grid_lattice,0,0.04220384337780826,0.042084719623853725,0.06504123089537459,"[('mid5', 'out3'), ('in', 'mid11'), ('out7', 'mid10'), ('mid13', 'out6')]"
grid_lattice,1,0.020930254354543862,0.020917286690151117,0.06707590133063032,"[('mid3', 'mid4'), ('mid12', 'out4'), ('mid14', 'out5'), ('out5', 'mid15')]"
grid_lattice,1,0.01902044256454228,0.01902044256454228,0.07022281314473472,"[('mid2', 'out3'), ('mid8', 'mid12'), ('out7', 'mid13'), ('out6', 'mid14')]"
grid_lattice,1,0.02103000043314687,0.02103000043314687,0.07150453023813484,"[('out1', 'mid3'), ('out2', 'mid2'), ('mid8', 'mid12'), ('out5', 'mid15')]"
grid_lattice,1,0.0245012119403217,0.02359973088408645,0.0628038440552687,"[('mid1', 'mid4'), ('mid1', 'out2'), ('mid6', 'out7'), ('mid7', 'in')]"
grid_lattice,1,0.023473499154696122,0.023362484063805693,0.06680252751506309,"[('mid0', 'out1'), ('mid8', 'mid9'), ('out7', 'mid10'), ('mid10', 'out6')]"
grid_lattice,1,0.021416358567070217,0.021528383065052763,0.0678687404239932,"[('out1', 'mid3'), ('mid6', 'out7'), ('mid8', 'mid9'), ('mid12', 'out5')]"
grid_lattice,1,0.021171453464956056,0.02111815425032041,0.06687883883279126,"[('mid4', 'mid5'), ('out7', 'mid13'), ('mid12', 'out4'), ('mid14', 'out5')]"
grid_lattice,1,0.0209118943187845,0.0209118943187845,0.06996482568443649,"[('mid6', 'mid7'), ('mid8', 'mid12'), ('mid13', 'out6'), ('out5', 'mid15')]"
grid_lattice,1,0.020426731520968355,0.020249453732603877,0.06748472994790505,"[('mid3', 'mid4'), ('out7', 'mid13'), ('mid11', 'mid14'), ('mid12', 'out4')]"
