family,beta_label,beta_value,direction_id,pattern_family,rho,s,best_error,I_001
symmetric_tree,low,0.22314355131420976,4,regional,0.8,0.23387421878026218,0.06917870946898103,0
symmetric_tree,low,0.22314355131420976,4,regional,0.9,0.26310849612779497,0.07943186610074893,0
symmetric_tree,low,0.22314355131420976,5,multifocal,0.0,0.0,2.1942709178604383e-17,1
symmetric_tree,low,0.22314355131420976,5,multifocal,0.1,0.022755109649683164,0.00281782234898905,1
symmetric_tree,low,0.22314355131420976,5,multifocal,0.2,0.04551021929936633,0.006797768599252739,1
symmetric_tree,low,0.22314355131420976,5,multifocal,0.3,0.06826532894904949,0.013991000826818333,0
symmetric_tree,low,0.22314355131420976,5,multifocal,0.4,0.09102043859873266,0.021686666205026822,0
symmetric_tree,low,0.22314355131420976,5,multifocal,0.5,0.11377554824841582,0.02952183485085548,0
symmetric_tree,low,0.22314355131420976,5,multifocal,0.6,0.13653065789809898,0.037422245931152,0
symmetric_tree,low,0.22314355131420976,5,multifocal,0.7,0.15928576754778215,0.045353817521787125,0
symmetric_tree,low,0.22314355131420976,5,multifocal,0.8,0.1820408771974653,0.05330264114248946,0
symmetric_tree,low,0.22314355131420976,5,multifocal,0.9,0.20479598684714848,0.06126200174192776,0
symmetric_tree,low,0.22314355131420976,6,localized,0.0,0.0,2.1942709178604383e-17,1
symmetric_tree,low,0.22314355131420976,6,localized,0.1,0.04419295753759697,0.010312845286651101,0
symmetric_tree,low,0.22314355131420976,6,localized,0.2,0.08838591507519394,0.024781939101286746,0
symmetric_tree,low,0.22314355131420976,6,localized,0.3,0.1325788726127909,0.039852537575488865,0
symmetric_tree,low,0.22314355131420976,6,localized,0.4,0.1767718301503879,0.05521193910646419,0
symmetric_tree,low,0.22314355131420976,6,localized,0.5,0.22096478768798483,0.07068339360550967,0
symmetric_tree,low,0.22314355131420976,6,localized,0.6,0.2651577452255818,0.08620659189581875,0
symmetric_tree,low,0.22314355131420976,6,localized,0.7,0.3093507027631787,0.10175785612913836,0
symmetric_tree,low,0.22314355131420976,6,localized,0.8,0.3535436603007758,0.11732602662968669,0
symmetric_tree,low,0.22314355131420976,6,localized,0.9,0.3977366178383727,0.13290516245965323,0
symmetric_tree,low,0.22314355131420976,7,regional,0.0,0.0,2.1942709178604383e-17,1
symmetric_tree,low,0.22314355131420976,7,regional,0.1,0.03868304327223146,0.005121461736025251,1
symmetric_tree,low,0.22314355131420976,7,regional,0.2,0.07736608654446292,0.01696187962217752,0
symmetric_tree,low,0.22314355131420976,7,regional,0.3,0.11604912981669435,0.02996653451165636,0
symmetric_tree,low,0.22314355131420976,7,regional,0.4,0.15473217308892584,0.04321199153645722,0
symmetric_tree,low,0.22314355131420976,7,regional,0.5,0.19341521636115727,0.05662839853240649,0
symmetric_tree,low,0.22314355131420976,7,regional,0.6,0.2320982596333887,0.07014534401757253,0
symmetric_tree,low,0.22314355131420976,7,regional,0.7,0.27078130290562014,0.0837141416580405,0
symmetric_tree,low,0.22314355131420976,7,regional,0.8,0.3094643461778517,0.09731310394259182,0
symmetric_tree,low,0.22314355131420976,7,regional,0.9,0.3481473894500831,0.1109311378447964,0
symmetric_tree,low,0.22314355131420976,8,multifocal,0.0,0.0,2.1942709178604383e-17,1
symmetric_tree,low,0.22314355131420976,8,multifocal,0.1,0.021949517322037287,0.003784909377651406,1
symmetric_tree,low,0.22314355131420976,8,multifocal,0.2,0.043899034644074575,0.00862889724306958,1
symmetric_tree,low,0.22314355131420976,8,multifocal,0.3,0.06584855196611185,0.015308095684059893,0
symmetric_tree,low,0.22314355131420976,8,multifocal,0.4,0.08779806928814915,0.022449588626765105,0
symmetric_tree,low,0.22314355131420976,8,multifocal,0.5,0.10974758661018642,0.02975849992431159,0
symmetric_tree,low,0.22314355131420976,8,multifocal,0.6,0.1316971039322237,0.03716814618673974,0
symmetric_tree,low,0.22314355131420976,8,multifocal,0.7,0.15364662125426098,0.044628402858633974,0
symmetric_tree,low,0.22314355131420976,8,multifocal,0.8,0.1755961385762983,0.05214782332137246,0
symmetric_tree,low,0.22314355131420976,8,multifocal,0.9,0.19754565589833556,0.05972890372566055,0
symmetric_tree,low,0.22314355131420976,9,localized,0.0,0.0,2.1942709178604383e-17,1
symmetric_tree,low,0.22314355131420976,9,localized,0.1,0.05804327400896493,0.009441339893739116,1
symmetric_tree,low,0.22314355131420976,9,localized,0.2,0.11608654801792986,0.0286554175629685,0
symmetric_tree,low,0.22314355131420976,9,localized,0.3,0.17412982202689478,0.04851386949356304,0
symmetric_tree,low,0.22314355131420976,9,localized,0.4,0.23217309603585973,0.06875137354995564,0
symmetric_tree,low,0.22314355131420976,9,localized,0.5,0.29021637004482465,0.08911881176941577,0
symmetric_tree,low,0.22314355131420976,9,localized,0.6,0.34825964405378956,0.10954373223420646,0
symmetric_tree,low,0.22314355131420976,9,localized,0.7,0.4063029180627545,0.12999904363812234,0
symmetric_tree,low,0.22314355131420976,9,localized,0.8,0.46434619207171945,0.15047235239828377,0
symmetric_tree,low,0.22314355131420976,9,localized,0.9,0.5223894660806844,0.17095719271250362,0
symmetric_tree,low,0.22314355131420976,10,regional,0.0,0.0,2.1942709178604383e-17,1
symmetric_tree,low,0.22314355131420976,10,regional,0.1,0.026740924761646623,0.0032078065687142577,1
symmetric_tree,low,0.22314355131420976,10,regional,0.2,0.05348184952329325,0.009567689845496424,1
symmetric_tree,low,0.22314355131420976,10,regional,0.3,0.08022277428493986,0.018149557303207744,0
symmetric_tree,low,0.22314355131420976,10,regional,0.4,0.1069636990465865,0.027110262056176872,0
symmetric_tree,low,0.22314355131420976,10,regional,0.5,0.13370462380823311,0.0362987421452654,0
symmetric_tree,low,0.22314355131420976,10,regional,0.6,0.16044554856987972,0.04557744560661634,0
symmetric_tree,low,0.22314355131420976,10,regional,0.7,0.18718647333152635,0.05490064579621445,0
symmetric_tree,low,0.22314355131420976,10,regional,0.8,0.213927398093173,0.0642489748072329,0
symmetric_tree,low,0.22314355131420976,10,regional,0.9,0.24066832285481962,0.07361285969748234,0
symmetric_tree,low,0.22314355131420976,11,multifocal,0.0,0.0,2.1942709178604383e-17,1
symmetric_tree,low,0.22314355131420976,11,multifocal,0.1,0.0230410956904696,0.0023354608531816353,1
symmetric_tree,low,0.22314355131420976,11,multifocal,0.2,0.0460821913809392,0.005798485101005933,1
symmetric_tree,low,0.22314355131420976,11,multifocal,0.3,0.06912328707140879,0.012134302648873841,0
symmetric_tree,low,0.22314355131420976,11,multifocal,0.4,0.0921643827618784,0.01967731858560106,0
symmetric_tree,low,0.22314355131420976,11,multifocal,0.5,0.11520547845234799,0.027565838556415423,0
symmetric_tree,low,0.22314355131420976,11,multifocal,0.6,0.13824657414281757,0.03557073328695686,0
symmetric_tree,low,0.22314355131420976,11,multifocal,0.7,0.16128766983328718,0.043627992166493615,0
symmetric_tree,low,0.22314355131420976,11,multifocal,0.8,0.1843287655237568,0.051713144915405976,0
symmetric_tree,low,0.22314355131420976,11,multifocal,0.9,0.2073698612142264,0.05981488139466861,0
symmetric_tree,low,0.22314355131420976,12,localized,0.0,0.0,2.1942709178604383e-17,1
symmetric_tree,low,0.22314355131420976,12,localized,0.1,0.06824869407585805,0.015273965080037801,0
symmetric_tree,low,0.22314355131420976,12,localized,0.2,0.1364973881517161,0.037960902264719876,0
symmetric_tree,low,0.22314355131420976,12,localized,0.3,0.20474608222757415,0.06138775110731887,0
symmetric_tree,low,0.22314355131420976,12,localized,0.4,0.2729947763034322,0.0851919201649814,0
symmetric_tree,low,0.22314355131420976,12,localized,0.5,0.34124347037929026,0.1091390928931701,0
symmetric_tree,low,0.22314355131420976,12,localized,0.6,0.4094921644551483,0.13315213477243418,0
symmetric_tree,low,0.22314355131420976,12,localized,0.7,0.47774085853100634,0.1572008633950016,0
symmetric_tree,low,0.22314355131420976,12,localized,0.8,0.5459895526068644,0.1812710759348453,0
